customer_id,tenure_months,monthly_charge,support_tickets_90d,contract_type,autopay,premium_plan,churned
C100000,28,85.16,0,Month-to-month,0,0,0
C100001,23,92.25,1,Month-to-month,1,1,0
C100002,62,47.89,1,Month-to-month,0,0,0
C100003,46,58.21,1,Month-to-month,0,0,0
C100004,12,20.0,1,Month-to-month,0,0,0
C100005,39,61.91,4,Month-to-month,0,1,0
C100006,37,82.64,3,Month-to-month,0,1,0
C100007,67,104.16,2,Two year,1,1,0
C100008,58,95.03,0,One year,1,0,0
C100009,15,56.92,1,Two year,1,0,0
C100010,53,67.01,1,Month-to-month,1,0,0
C100011,11,100.12,1,Month-to-month,0,1,0
C100012,40,68.63,1,One year,1,0,0
C100013,66,71.53,1,Month-to-month,0,1,0
C100014,69,111.9,3,Month-to-month,0,1,1
C100015,4,98.25,1,Month-to-month,1,0,1
C100016,10,52.54,4,Month-to-month,1,0,0
C100017,30,62.98,1,One year,1,0,0
C100018,63,122.09,4,Month-to-month,1,1,0
C100019,70,87.25,3,One year,0,0,0
C100020,47,110.58,1,Two year,1,1,1
C100021,72,48.26,1,One year,1,0,0
C100022,15,90.42,0,Month-to-month,1,0,0
C100023,65,94.73,3,Month-to-month,0,1,1
C100024,55,109.81,2,One year,0,0,1
C100025,1,111.12,0,Two year,1,0,1
C100026,59,67.48,3,Two year,0,0,0
C100027,40,86.2,0,Month-to-month,0,1,1
C100028,35,72.2,3,Two year,1,1,0
C100029,39,95.11,0,Month-to-month,1,0,1
C100030,41,39.38,1,One year,0,0,0
C100031,56,27.43,2,Two year,0,0,0
C100032,37,85.41,0,Two year,0,0,0
C100033,62,77.73,0,Two year,0,1,0
C100034,64,85.09,1,Month-to-month,1,1,0
C100035,66,69.64,2,Two year,1,0,0
C100036,54,106.19,1,Month-to-month,0,0,0
C100037,48,91.35,3,Two year,1,0,0
C100038,31,65.72,1,Month-to-month,0,0,1
C100039,12,74.22,3,Month-to-month,1,0,0
C100040,36,30.49,2,Month-to-month,0,1,1
C100041,34,137.42,5,Month-to-month,1,1,0
C100042,61,71.13,1,One year,0,1,0
C100043,50,93.87,3,One year,1,1,0
C100044,11,84.98,1,Two year,1,1,0
C100045,6,77.26,2,Month-to-month,0,1,0
C100046,23,83.1,1,Two year,1,0,0
C100047,15,20.76,2,Month-to-month,0,0,1
C100048,42,95.15,2,Two year,0,1,0
C100049,9,64.85,3,One year,1,0,0
C100050,35,96.68,2,One year,0,1,0
C100051,20,94.18,1,Two year,1,1,0
C100052,71,75.54,1,Month-to-month,1,1,0
C100053,25,109.3,0,One year,1,0,1
C100054,50,127.21,1,Month-to-month,1,0,0
C100055,29,56.55,2,One year,1,0,0
C100056,60,64.06,1,Month-to-month,1,0,1
C100057,71,30.44,2,One year,1,0,0
C100058,21,75.87,1,One year,1,0,0
C100059,59,86.07,2,Two year,1,1,0
C100060,39,55.6,1,Month-to-month,0,1,0
C100061,58,71.97,0,Two year,1,1,0
C100062,2,130.88,2,Two year,0,0,0
C100063,33,86.48,3,One year,1,1,1
C100064,54,75.26,0,Month-to-month,1,0,0
C100065,59,87.93,3,Month-to-month,0,0,0
C100066,39,87.05,2,Two year,1,0,0
C100067,60,23.91,2,Month-to-month,1,1,0
C100068,51,73.58,3,Month-to-month,1,1,0
C100069,19,66.56,1,Month-to-month,1,1,1
C100070,22,110.98,2,Two year,1,0,0
C100071,18,69.99,2,Month-to-month,1,0,0
C100072,1,121.92,1,One year,1,1,0
C100073,55,100.68,1,Month-to-month,0,1,0
C100074,33,113.99,2,One year,0,1,0
C100075,51,58.52,1,Month-to-month,0,0,0
C100076,20,82.19,3,Month-to-month,1,1,0
C100077,20,128.26,2,Two year,1,1,1
C100078,33,38.45,0,One year,1,0,0
